"","x"
"342","Vicia villosa"
"343","Notholithocarpus densiflorus"
"344","Quercus agrifolia"
"345","Quercus chrysolepis"
"346","Quercus douglasii"
"347","Quercus durata"
"348","Quercus kelloggii"
"349","Quercus lobata"
"350","Quercus wislizeni"
"351","Garrya elliptica"
"352","Cicendia quadrangularis"
"353","Zeltnera davyi"
"354","Zeltnera muehlenbergii"
"355","Erodium botrys"
"356","Erodium brachycarpum"
"357","Erodium cicutarium"
"358","Erodium moschatum"
"359","Geranium dissectum"
"360","Geranium molle"
"361","Geranium purpureum"
"362","Geranium robertianum"
"363","Ribes aureum"
"364","Ribes californicum"
"365","Ribes divaricatum"
"366","Ribes malvaceum"
"367","Ribes menziesii"
"368","Ribes sanguineum"
"369","Myriophyllum aquaticum"
"370","Whipplea modesta"
"371","Hypericum calycinum"
"372","Juglans hindsii"
"373","Clinopodium douglasii"
"374","Lamium amplexicaule"
"375","Lamium purpureum"
"376","Lepechinia calycina"
"377","Marrubium vulgare"
"378","Melissa officinalis"
"379","Mentha xpiperita"
"380","Mentha pulegium"
"381","Mentha suaveolens"
"382","Monardella villosa"
"383","Pogogyne serpylloides"
"384","Prunella vulgaris"
"385","Rosmarinus officinalis"
"386","Salvia columbariae"
"387","Scutellaria tuberosa"
"388","Stachys bullata"
"389","Stachys pycnantha"
"390","Stachys rigida"
"391","Hesperolinon micranthum"
"392","Linum bienne"
"393","Ammannia robusta"
"394","Lythrum hyssopifolia"
"395","Lythrum tribracteatum"
"396","Abutilon theophrasti"
"397","Malacothamnus fasciculatus"
"398","Malva nicaeensis"
"399","Sidalcea malviflora"
"400","Calandrinia menziesii"
"401","Claytonia exigua"
"402","Claytonia parviflora"
"403","Claytonia perfoliata"
"404","Montia fontana"
"405","Ficus carica"
"406","Lysimachia arvensis"
"407","Lysimachia latifolia"
"408","Lysimachia minima"
"409","Eucalyptus globulus"
"410","Myrtus communis"
"411","Ligustrum lucidum"
"412","Ligustrum vulgare"
"413","Olea europaea"
"414","Camissoniopsis intermedia"
"415","Camissoniopsis micrantha"
"416","Clarkia purpurea"
"417","Clarkia purpurea"
"418","Clarkia rubicunda"
"419","Clarkia unguiculata"
"420","Epilobium brachycarpum"
"421","Epilobium ciliatum"
"422","Epilobium densiflorum"
"423","Epilobium minutum"
"424","Epilobium torreyi"
"425","Ludwigia peploides"
"426","Oenothera elata"
"427","Taraxia ovata"
"428","Aphyllon fasciculatum"
"429","Aphyllon purpureum"
"430","Aphyllon tuberosum"
"431","Aphyllon vallicolum"
"432","Bellardia trixago"
"433","Castilleja affinis"
"434","Castilleja attenuata"
"435","Castilleja densiflora"
"436","Castilleja exserta"
"437","Castilleja foliolosa"
"438","Castilleja rubicundula"
"439","Castilleja wightii"
"440","Cordylanthus pilosus"
"441","Cordylanthus rigidus"
"442","Parentucellia viscosa"
"443","Pedicularis densiflora"
"444","Triphysaria eriantha"
"445","Triphysaria pusilla"
"446","Oxalis corniculata"
"447","Oxalis micrantha"
"448","Oxalis oregana"
"449","Oxalis pes-caprae"
"450","Eschscholzia californica"
"451","Fumaria capreolata"
"452","Platystemon californicus"
"453","Diplacus douglasii"
"454","Diplacus aurantiacus"
"455","Erythranthe cardinalis"
"456","Erythranthe microphylla"
"457","Erythranthe guttata"
"458","Antirrhinum kelloggii"
"459","Antirrhinum vexillocalyculatum"
"460","Callitriche marginata"
"461","Collinsia heterophylla"
"462","Digitalis purpurea"
"463","Keckiella antirrhinoides"
"464","Kickxia elatine"
"465","Nuttallanthus texanus"
"466","Plantago coronopus"
"467","Plantago erecta"
"468","Plantago lanceolata"
"469","Plantago major"
"470","Veronica americana"
"471","Veronica arvensis"
"472","Veronica peregrina"
"473","Veronica persica"
"474","Collomia heterophylla"
"475","Eriastrum abramsii"
"476","Gilia achilleifolia"
"477","Gilia clivorum"
"478","Leptosiphon androsaceus"
"479","Leptosiphon bicolor"
"480","Leptosiphon liniflorus"
"481","Leptosiphon parviflorus"
"482","Leptosiphon pygmaeus"
"483","Linanthus dichotomus"
"484","Microsteris gracilis"
"485","Navarretia heterodoxa"
"486","Navarretia squarrosa"
"487","Navarretia viscidula"
"488","Polygala californica"
"489","Chorizanthe diffusa"
"490","Eriogonum luteolum"
"491","Eriogonum nudum"
"492","Persicaria amphibia"
"493","Persicaria lapathifolia"
"494","Persicaria maculosa"
"495","Persicaria punctata"
"496","Polygonum aviculare"
"497","Pterostegia drymarioides"
"498","Rumex acetosella"
"499","Rumex conglomeratus"
"500","Rumex crispus"
"501","Rumex obtusifolius"
"502","Rumex pulcher"
"503","Rumex salicifolius"
"504","Portulaca oleracea"
"505","Primula clevelandii"
"506","Primula hendersonii"
"507","Actaea rubra"
"508","Aquilegia formosa"
"509","Clematis lasiantha"
"510","Clematis ligusticifolia"
"511","Delphinium californicum"
"512","Delphinium hesperium"
"513","Delphinium patens"
"514","Myosurus minimus"
"515","Ranunculus californicus"
"516","Ranunculus hebecarpus"
"517","Ranunculus muricatus"
"518","Ranunculus uncinatus"
"519","Thalictrum fendleri"
"520","Ceanothus cuneatus"
"521","Ceanothus oliganthus"
"522","Frangula californica"
"523","Frangula californica"
"524","Rhamnus crocea"
"525","Rhamnus ilicifolia"
